"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.396675210E1,2.123999977E1,1.175999928E1,-2.813999939E1
8.421803383E1,1.361999989E1,2.076000023E1,-3.509999847E1
8.446934609E1,3.179999828E0,3.413999939E1,-3.618000031E1
8.472099404E1,2.231999969E1,1.457999992E1,-3.420000076E1
8.497166543E1,1.847999954E1,1.619999886E1,-3.539999771E1
8.522383217E1,3.599999905E0,3.707999802E1,-3.947999954E1
8.547493081E1,1.961999893E1,1.488000011E1,-3.743999863E1
8.572651772E1,1.157999992E1,1.668000031E1,-3.071999931E1
8.597776894E1,-3.599999845E-1,3.755999756E1,-3.491999817E1
8.622975258E1,1.823999977E1,1.571999931E1,-3.473999786E1
8.648100380E1,2.268000031E1,9.960000038E0,-2.850000000E1
8.673240761E1,5.699999809E0,2.843999863E1,-3.671999741E1
8.698521523E1,9.779999733E0,2.634000015E1,-3.863999939E1
8.723600869E1,1.907999992E1,1.092000008E1,-2.526000023E1
8.748845009E1,9.119999886E0,2.327999878E1,-3.323999786E1
8.773979287E1,6.420000076E0,3.089999962E1,-3.377999878E1
8.799122719E1,2.376000023E1,1.475999928E1,-2.885999870E1
8.824260048E1,1.446000004E1,2.219999886E1,-3.300000000E1
8.849376015E1,1.620000005E0,4.368000031E1,-3.179999924E1
8.874659829E1,1.175999928E1,1.985999870E1,-3.065999985E1
8.899775796E1,1.188000011E1,1.710000038E1,-2.753999901E1
8.924940590E1,-2.399999857E0,3.779999924E1,-2.826000023E1
8.950062661E1,1.043999958E1,1.547999954E1,-2.687999916E1
8.975346474E1,8.279999733E0,1.361999989E1,-2.015999985E1
9.000465493E1,1.079999924E0,2.837999916E1,-3.005999947E1
9.025655818E1,1.488000011E1,1.596000004E1,-3.275999832E1
9.050878596E1,1.679999924E1,8.939999580E0,-2.010000038E1
9.076003719E1,5.039999962E0,2.663999939E1,-3.336000061E1
9.101269222E1,5.759999752E0,2.771999931E1,-3.665999985E1
9.126434016E1,1.800000000E1,1.115999985E1,-2.718000031E1
9.151678157E1,8.880000114E0,2.268000031E1,-3.521999741E1
9.176842952E1,2.700000048E0,3.126000023E1,-3.509999847E1
9.201971126E1,1.421999931E1,1.403999996E1,-2.861999893E1
9.227267146E1,8.460000038E0,1.871999931E1,-3.179999924E1
9.252373958E1,4.199999869E-1,3.581999969E1,-3.713999939E1
9.277554012E1,1.985999870E1,1.463999939E1,-3.570000076E1
9.302718806E1,2.219999886E1,1.397999954E1,-3.768000031E1
9.327819514E1,1.038000011E1,3.257999802E1,-4.445999908E1
9.353036189E1,2.076000023E1,2.034000015E1,-4.265999985E1
9.378146052E1,2.160000038E1,1.907999992E1,-4.247999954E1
9.403439021E1,1.193999958E1,2.795999908E1,-4.379999924E1
9.428548885E1,1.811999893E1,2.021999931E1,-4.187999725E1
9.453802180E1,2.663999939E1,1.469999981E1,-3.815999985E1
9.478945613E1,1.301999950E1,2.711999893E1,-4.439999771E1
9.504040218E1,1.577999973E1,3.084000015E1,-4.907999802E1
9.529213365E1,2.093999863E1,1.650000000E1,-3.827999878E1
9.554332383E1,8.099999428E0,2.963999939E1,-3.786000061E1
9.579433091E1,-2.399999946E-1,4.025999832E1,-3.293999863E1
9.604573472E1,1.703999901E1,1.655999947E1,-3.185999870E1
9.629784044E1,1.115999985E1,1.997999954E1,-3.384000015E1
9.654918321E1,1.860000014E0,3.875999832E1,-3.750000000E1
9.680061754E1,1.559999943E1,1.668000031E1,-3.455999756E1
