"Time (s)","Illuminance (lx)"
2.202869530E2,1.470000000E3
2.206793786E2,1.360000000E3
2.209737511E2,1.182000000E3
2.212680626E2,1.118000000E3
2.215194970E2,4.620000000E2
2.218137169E2,4.930000000E2
2.221080895E2,9.990000000E2
2.224027890E2,1.008000000E3
2.227955503E2,9.990000000E2
2.230899839E2,1.053000000E3
2.233840512E2,1.164000000E3
2.237764768E2,1.182000000E3
2.240709714E2,1.218000000E3
2.243649167E2,1.402000000E3
2.246596555E2,1.482000000E3
2.251346006E2,5.090000000E2
2.254289731E2,1.945000000E3
2.256800718E2,9.420000000E2
2.259745359E2,1.073000000E3
2.262686643E2,1.953000000E3
2.265196714E2,8.910000000E2
2.268694028E2,1.045000000E3
2.274797239E2,4.260000000E2
2.277740354E2,1.883000000E3
2.280954770E2,1.633000000E3
2.284452695E2,1.752000000E3
2.287397641E2,2.605000000E3
2.292579526E2,1.762000000E3
2.295523557E2,1.835000000E3
2.298467282E2,1.897000000E3
2.301411008E2,2.019000000E3
2.304349546E2,2.013000000E3
2.308708066E2,1.946000000E3
2.311494321E2,1.809000000E3
2.314437131E2,1.553000000E3
2.317378110E2,1.574000000E3
2.320320310E2,1.510000000E3
2.325223569E2,1.480000000E3
2.328444394E2,1.560000000E3
2.331384153E2,1.688000000E3
2.334326047E2,1.832000000E3
2.337271909E2,1.922000000E3
2.340214414E2,2.285000000E3
2.345160703E2,2.576000000E3
2.348609189E2,1.356000000E3
2.352108335E2,1.108000000E3
2.357408933E2,1.757000000E3
2.370311155E2,3.205000000E3
2.374514035E2,4.360000000E2
2.377728452E2,1.575000000E3
2.380948056E2,1.201000000E3
2.383892697E2,1.369000000E3
2.387817258E2,1.039000000E3
2.390760984E2,8.470000000E2
2.393701352E2,8.610000000E2
2.398605527E2,8.850000000E2
2.402526426E2,8.880000000E2
2.405468015E2,9.120000000E2
2.408412046E2,9.400000000E2
2.411354551E2,1.010000000E3
2.414298886E2,1.056000000E3
2.417240171E2,1.138000000E3
2.422140989E2,1.206000000E3
2.427043332E2,1.155000000E3
2.430969114E2,1.239000000E3
2.433911924E2,1.260000000E3
2.436854428E2,1.328000000E3
2.439796323E2,1.351000000E3
2.442738828E2,1.404000000E3
2.445682248E2,1.696000000E3
2.448622007E2,1.795000000E3
2.451565427E2,2.041000000E3
2.454509153E2,2.217000000E3
2.457727231E2,2.320000000E3
2.460671262E2,2.868000000E3
2.466248349E2,7.550000000E2
2.471760739E2,8.370000000E2
2.477540769E2,1.025000000E3
2.483676328E2,1.379000000E3
2.489374875E2,1.733000000E3
2.495554348E2,1.269000000E3
2.501457974E2,1.249000000E3
2.507353970E2,1.413000000E3
2.512942349E2,9.830000000E2
2.519325711E2,9.420000000E2
2.522046963E2,5.900000000E2
2.526955105E2,1.485000000E3
2.533214566E2,2.740000000E3
2.536002041E2,1.132200000E4
2.541833340E2,1.960000000E3
2.548474359E2,2.860000000E3
2.555972833E2,2.626000000E3
2.562498712E2,1.949000000E3
2.565023737E2,1.687000000E3
2.570839166E2,2.041000000E3
2.581262445E2,3.002000000E3
2.583796625E2,1.539000000E3
2.588752374E2,6.955000000E3
2.593267755E2,1.129000000E3
2.598819818E2,1.009000000E3
2.604357538E2,8.090000000E2
2.607620172E2,1.230000000E3
2.610803156E2,9.630000000E2
2.615984430E2,7.300000000E2
2.619202509E2,7.830000000E2
2.622145929E2,6.630000000E2
2.625088739E2,6.390000000E2
2.628034601E2,6.400000000E2
2.630975885E2,7.100000000E2
2.633910761E2,7.300000000E2
2.636853571E2,7.290000000E2
2.639799738E2,6.960000000E2
2.642741937E2,6.170000000E2
2.646668329E2,5.840000000E2
2.649183588E2,2.930000000E2
2.652129450E2,2.730000000E2
2.655073175E2,5.550000000E2
2.658016901E2,5.530000000E2
2.660958185E2,5.410000000E2
2.665863886E2,5.410000000E2
2.670761041E2,5.760000000E2
2.673707819E2,4.680000000E2
2.680575800E2,4.420000000E2
2.685484552E2,4.390000000E2
2.688427362E2,4.730000000E2
2.691370783E2,5.080000000E2
2.696274347E2,5.420000000E2
2.699222040E2,4.350000000E2
2.703148432E2,4.380000000E2
2.706095209E2,4.700000000E2
2.709038935E2,4.550000000E2
2.712257624E2,3.390000000E2
2.715478144E2,3.330000000E2
2.717993384E2,1.740000000E2
2.721213294E2,2.670000000E2
2.724435645E2,2.240000000E2
2.727376929E2,4.200000000E2
2.730323096E2,3.940000000E2
2.733265601E2,4.010000000E2
2.736208411E2,4.560000000E2
2.738881446E2,3.470000000E2
2.742649146E2,3.320000000E2
2.745590735E2,4.800000000E2
2.750493079E2,4.880000000E2
2.753436805E2,4.320000000E2
2.756380225E2,4.120000000E2
2.759319983E2,4.240000000E2
2.762265540E2,4.890000000E2
2.765483314E2,5.260000000E2
2.768701392E2,4.450000000E2
2.771648169E2,6.100000000E2
2.774594336E2,6.080000000E2
2.778518897E2,6.210000000E2
2.781462928E2,6.900000000E2
2.784403907E2,6.820000000E2
2.787347022E2,6.320000000E2
2.791273414E2,6.350000000E2
2.794216224E2,6.710000000E2
2.797163917E2,6.730000000E2
2.800105201E2,6.790000000E2
2.805010901E2,6.660000000E2
2.807950965E2,6.090000000E2
2.810892249E2,5.870000000E2
2.813836890E2,5.990000000E2
2.816782752E2,7.090000000E2
2.821813880E2,2.230000000E2
2.825030738E2,1.591000000E3
2.828802100E2,4.110000000E2
2.831747962E2,2.986000000E3
2.837605506E2,8.290000000E2
2.843417579E2,1.077000000E3
2.848921729E2,5.670000000E2
