"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.639577805E1,-1.171790902E-2,6.924218964E-3,3.195793182E-2
7.664599168E1,-1.970739290E-2,1.651159860E-2,4.261057824E-3
7.689641892E1,-5.326322466E-2,-8.522115648E-3,-2.450108156E-2
7.714690720E1,2.290318534E-2,3.994741663E-2,1.065264456E-3
7.739748704E1,-5.326322280E-3,-3.728425596E-3,-3.462109342E-2
7.764809739E1,-4.367584363E-2,-5.539375171E-2,9.054748341E-3
7.789870774E1,5.326322280E-3,-6.551376730E-2,1.065264456E-2
7.814916550E1,-5.326322280E-4,-2.609897964E-2,2.183792181E-2
7.839968430E1,-4.953479767E-2,-1.171790902E-2,-9.587380104E-3
7.865005051E1,-2.556634694E-2,-9.906959534E-2,-7.243798673E-2
7.890081345E1,-2.450108156E-2,-9.054748341E-3,4.793690052E-3
7.915108811E1,4.048004746E-2,6.924218964E-3,-7.243798673E-2
7.940139329E1,-1.917476021E-2,2.237055451E-2,2.982740477E-2
7.965188157E1,6.924218964E-3,4.793690052E-3,-2.077265643E-2
7.990246140E1,-4.261057824E-3,-2.130528912E-3,-1.012001187E-2
8.015298020E1,-9.054748341E-3,3.195793368E-3,-3.195793368E-3
8.040362107E1,3.302319720E-2,-1.917476021E-2,-7.989482954E-3
8.065404832E1,1.651159860E-2,-2.130528912E-2,-4.261057824E-3
8.090462815E1,-2.396845073E-2,2.663161140E-3,3.728425596E-3
8.115514695E1,-8.522115648E-3,7.989482954E-3,-2.130528912E-3
8.140566575E1,1.065264456E-2,-4.793690052E-3,5.326322280E-4
8.165615403E1,-2.130528912E-3,-3.728425596E-3,1.225054078E-2
8.190661179E1,1.597896684E-3,7.989482954E-3,9.587380104E-3
8.215703904E1,5.858954508E-3,3.195793368E-3,-3.142530099E-2
8.240764939E1,-7.989482954E-3,5.326322280E-4,4.261057824E-3
8.265819871E1,2.663161140E-3,1.597896684E-3,-1.597896684E-3
8.290859544E1,2.077265643E-2,6.391586736E-3,1.651159860E-2
8.315896165E1,-1.651159860E-2,1.171790902E-2,9.054748341E-3
8.340944993E1,1.597896684E-3,-5.326322280E-4,-1.597896684E-3
8.366006028E1,-2.876213938E-2,2.130528912E-3,-7.456851192E-3
8.391064011E1,1.651159860E-2,6.391586736E-3,5.326322280E-4
8.416100632E1,-6.924218964E-3,7.456851192E-3,1.171790902E-2
8.441167771E1,3.302319720E-2,1.491370238E-2,1.544633508E-2
8.466219651E1,4.580637068E-2,-2.290318534E-2,1.651159860E-2
8.491268479E1,3.355583176E-2,1.597896684E-3,-5.326322280E-4
8.516305100E1,7.989482954E-3,-5.326322280E-4,2.503371425E-2
8.541353928E1,4.687163606E-2,-9.054748341E-3,2.183792181E-2
8.566414964E1,-2.663161140E-3,-2.024002373E-2,-1.651159860E-2
8.591460740E1,3.089267015E-2,-2.290318534E-2,-2.237055451E-2
8.616506516E1,-3.675162420E-2,2.663161233E-2,-4.261057824E-3
8.641552293E1,-4.367584363E-2,8.522115648E-3,1.065264456E-3
8.666604172E1,2.237055451E-2,1.065264456E-3,-2.130528912E-3
8.691659104E1,-9.054748341E-3,-1.704423130E-2,0.000000000E0
8.716720139E1,1.544633508E-2,2.556634694E-2,1.225054078E-2
8.741772019E1,1.384843793E-2,2.663161140E-3,5.326322280E-4
8.766805588E1,-1.171790902E-2,1.438106969E-2,1.597896684E-3
8.791845261E1,1.065264456E-3,1.118527725E-2,2.130528912E-2
8.816903245E1,-1.757686399E-2,6.391586736E-3,2.929477207E-2
8.841952073E1,-6.924218964E-3,6.924218964E-3,1.065264456E-2
