"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.976299151E2,3.974374831E-1,2.638410330E0,9.473855972E0
1.978803424E2,3.734954596E-1,2.636016130E0,9.466673851E0
1.981310138E2,3.256114423E-1,2.657563925E0,9.215282440E0
1.983816241E2,4.046200812E-1,2.616862535E0,9.311050415E0
1.986320819E2,5.003881454E-1,2.755726099E0,9.291896820E0
1.988825702E2,4.118026793E-1,2.679111719E0,9.141061783E0
1.991330890E2,3.064578176E-1,2.600103140E0,9.229647636E0
1.993836688E2,3.256114423E-1,2.597708941E0,9.270348549E0
1.996341571E2,3.423708379E-1,2.643198729E0,9.516951561E0
1.998846149E2,2.777273953E-1,2.621650934E0,9.179368973E0
2.001351031E2,2.825157940E-1,2.636016130E0,9.244012833E0
2.003856219E2,2.753331959E-1,2.619256735E0,9.363722801E0
2.006360492E2,3.136404157E-1,2.671929121E0,9.126696587E0
2.008865680E2,4.189853072E-1,2.669534922E0,9.325415611E0
2.011370868E2,3.543418646E-1,2.667140722E0,9.129091263E0
2.013876056E2,3.040636182E-1,2.633621931E0,9.270348549E0
2.016380939E2,2.418143749E-1,2.624045134E0,9.191340446E0
2.018888263E2,3.208230138E-1,2.643198729E0,9.222464561E0
2.021393756E2,3.327940404E-1,2.669534922E0,9.409213066E0
2.023898639E2,3.615244627E-1,2.681505919E0,9.339780807E0
2.026404742E2,3.902548850E-1,2.691082716E0,9.265560150E0
2.028909320E2,4.022258818E-1,2.698265314E0,9.196128845E0
2.031413898E2,3.998316824E-1,2.712630510E0,9.133879662E0
2.033918780E2,3.926490843E-1,2.698265314E0,9.423578262E0
2.036423358E2,4.118026793E-1,2.724601507E0,9.272743225E0
2.038929156E2,4.189853072E-1,2.760514498E0,9.411606789E0
2.041434344E2,2.825157940E-1,2.700659513E0,9.165003777E0
2.043939838E2,3.543418646E-1,2.691082716E0,9.356540680E0
2.046444110E2,3.136404157E-1,2.621650934E0,9.208099365E0
2.048949908E2,3.902548850E-1,2.612074137E0,9.327810287E0
2.051455707E2,3.471592367E-1,2.604891539E0,9.291896820E0
2.053960589E2,4.094084799E-1,2.664746523E0,9.198522568E0
2.056466693E2,2.873041928E-1,2.624045134E0,9.299078941E0
2.058973407E2,3.447650373E-1,2.640804529E0,9.346963882E0
2.061477984E2,3.758896589E-1,2.647987127E0,9.349357605E0
2.063983172E2,4.213795066E-1,2.703053713E0,9.354146004E0
2.066487445E2,3.399766386E-1,2.695871115E0,9.270348549E0
2.068993854E2,4.477157295E-1,2.679111719E0,9.248801231E0
2.071499957E2,4.309563041E-1,2.794033289E0,9.234436035E0
2.074006061E2,4.501099288E-1,2.767697096E0,9.150638580E0
2.076512469E2,4.908113480E-1,2.820369720E0,9.131484985E0
2.079017657E2,3.758896589E-1,2.760514498E0,9.205705643E0
2.081522845E2,4.716577232E-1,2.887407303E0,9.342175484E0
2.084028033E2,4.237737060E-1,2.825158119E0,9.160215378E0
2.086533221E2,5.099649429E-1,2.880224705E0,9.191340446E0
2.089037189E2,4.261679053E-1,2.851494312E0,9.236829758E0
2.091540546E2,4.070142806E-1,2.841917515E0,9.165003777E0
2.094047565E2,3.040636182E-1,2.710236311E0,9.220070839E0
2.096553058E2,3.878606856E-1,2.779668093E0,9.272743225E0
2.099057025E2,3.447650373E-1,2.738966703E0,9.155426979E0
2.101562518E2,4.237737060E-1,2.796427488E0,9.088389397E0
2.104069537E2,3.495534360E-1,2.748543501E0,9.251194954E0
2.106575030E2,3.399766386E-1,2.731784105E0,9.196128845E0
2.109080524E2,3.687070608E-1,2.762908697E0,9.109937668E0
2.111583880E2,3.591302633E-1,2.789244890E0,9.157821655E0
2.114088763E2,3.615244627E-1,2.741360903E0,9.330204010E0
2.116593341E2,4.453215301E-1,2.789244890E0,9.263166428E0
2.119097003E2,4.501099288E-1,2.777273893E0,9.165003777E0
2.121600970E2,4.046200812E-1,2.808398485E0,8.920795441E0
2.124106769E2,3.711012602E-1,2.813186884E0,9.085995674E0
2.126612567E2,4.118026793E-1,2.808398485E0,9.179368973E0
2.129118060E2,3.687070608E-1,2.794033289E0,9.188945770E0
2.131623553E2,3.423708379E-1,2.767697096E0,9.313444138E0
2.134129046E2,3.351882398E-1,2.767697096E0,9.332598686E0
2.136633319E2,3.519476354E-1,2.789244890E0,9.145850182E0
2.139137897E2,3.040636182E-1,2.777273893E0,9.145850182E0
2.141643390E2,3.878606856E-1,2.755726099E0,9.294290543E0
2.144148883E2,2.992752194E-1,2.738966703E0,9.303867340E0
2.146652240E2,4.094084799E-1,2.760514498E0,9.351752281E0
2.149156817E2,3.495534360E-1,2.741360903E0,9.150638580E0
2.151662616E2,1.795651317E-1,2.726995707E0,9.109937668E0
2.154167193E2,3.806780577E-1,2.753331900E0,9.488221169E0
2.156671466E2,3.112462163E-1,2.784456491E0,9.234436035E0
2.159176959E2,3.351882398E-1,2.803610086E0,9.236829758E0
2.161680621E2,3.303998411E-1,2.748543501E0,9.373299599E0
2.164187945E2,3.112462163E-1,2.772485495E0,9.176975250E0
2.166693744E2,2.609679997E-1,2.765302896E0,9.404424667E0
2.169200458E2,3.232172430E-1,2.839523315E0,9.157821655E0
2.171705340E2,4.357447028E-1,2.894589901E0,9.279925346E0
2.174211139E2,4.716577232E-1,2.952050686E0,9.155426979E0
2.176715106E2,4.429273009E-1,2.906560898E0,9.169792175E0
2.179220904E2,2.082955539E-1,2.786850691E0,9.275136948E0
2.181724261E2,2.681505978E-1,2.789244890E0,9.093177795E0
2.184228839E2,3.160346150E-1,2.753331900E0,9.363722801E0
2.186733417E2,3.184288144E-1,2.789244890E0,9.042900085E0
2.189238299E2,3.830722570E-1,2.772485495E0,9.315838814E0
2.191744098E2,3.567360640E-1,2.822763920E0,9.150638580E0
2.194249286E2,3.112462163E-1,2.760514498E0,9.217676163E0
2.196755084E2,3.758896589E-1,2.815581083E0,9.236829758E0
2.199261188E2,3.950432837E-1,2.834734917E0,9.129091263E0
2.201765155E2,4.525041282E-1,2.813186884E0,9.327810287E0
2.204271869E2,5.027823448E-1,2.834734917E0,9.153033257E0
2.206779803E2,4.620809257E-1,2.829946518E0,9.145850182E0
2.209284076E2,5.219359994E-1,2.786850691E0,9.323021889E0
2.211788653E2,4.716577232E-1,2.801215887E0,9.272743225E0
2.214294757E2,5.075707436E-1,2.861071110E0,9.193734169E0
2.216798419E2,5.363011956E-1,2.849100113E0,9.090784073E0
2.219304217E2,4.596867263E-1,2.851494312E0,9.133879662E0
2.221808185E2,4.285621047E-1,2.858676910E0,9.311050415E0
2.224312558E2,4.381389022E-1,2.858676910E0,9.279925346E0
2.226816830E2,3.734954596E-1,2.777273893E0,9.236829758E0
2.229322324E2,3.830722570E-1,2.837129116E0,9.093177795E0
2.231825986E2,3.830722570E-1,2.808398485E0,9.071630478E0
2.234331479E2,4.189853072E-1,2.774879694E0,9.157821655E0
2.236837277E2,3.519476354E-1,2.762908697E0,9.215282440E0
2.239341855E2,3.399766386E-1,2.760514498E0,9.382876396E0
2.241846127E2,4.501099288E-1,2.837129116E0,9.112331390E0
2.244351315E2,3.830722570E-1,2.782062292E0,9.083600998E0
2.246856503E2,4.668693244E-1,2.772485495E0,9.368511200E0
2.249362302E2,3.926490843E-1,2.772485495E0,9.208099365E0
2.251868405E2,2.992752194E-1,2.734178305E0,9.208099365E0
2.254372983E2,5.123591423E-1,2.844311714E0,9.275136948E0
2.256878476E2,3.232172430E-1,2.741360903E0,9.229647636E0
2.259384579E2,3.495534360E-1,2.765302896E0,9.229647636E0
2.261889767E2,4.932055473E-1,2.913743496E0,9.349357605E0
2.264394650E2,4.237737060E-1,2.827552319E0,9.188945770E0
2.266901975E2,4.788403511E-1,2.949656487E0,9.045293808E0
2.269407162E2,4.955997467E-1,2.942473888E0,9.160215378E0
2.271912961E2,4.692635238E-1,2.899378300E0,9.232041359E0
2.274417538E2,5.147533417E-1,2.861071110E0,9.215282440E0
2.276922726E2,3.471592367E-1,2.837129116E0,9.253589630E0
2.279428525E2,4.189853072E-1,2.841917515E0,9.308655739E0
2.281934323E2,4.477157295E-1,2.765302896E0,9.227252960E0
2.284441342E2,4.381389022E-1,2.815581083E0,9.062053680E0
2.286945309E2,3.519476354E-1,2.760514498E0,9.294290543E0
2.289449887E2,3.782838583E-1,2.743755102E0,9.145850182E0
2.291955685E2,3.591302633E-1,2.693476915E0,9.303867340E0
2.294461484E2,4.165911078E-1,2.803610086E0,9.095572472E0
2.296966367E2,4.046200812E-1,2.760514498E0,9.227252960E0
2.299471555E2,4.644751251E-1,2.762908697E0,9.203310966E0
2.301976437E2,4.812345505E-1,2.789244890E0,9.153033257E0
2.304482846E2,4.740519226E-1,2.837129116E0,9.143456459E0
2.306989560E2,4.644751251E-1,2.844311714E0,9.054870605E0
2.309495969E2,4.572925270E-1,2.875436306E0,9.217676163E0
2.312000546E2,4.716577232E-1,2.892195702E0,9.133879662E0
2.314505734E2,4.596867263E-1,2.858676910E0,9.313444138E0
2.317010617E2,4.429273009E-1,2.851494312E0,9.255983353E0
2.319514890E2,4.094084799E-1,2.813186884E0,9.138668060E0
2.322020993E2,4.141969085E-1,2.832340717E0,9.284713745E0
