"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.247136465E2,1.979999924E1,2.250000000E1,-4.043999863E1
1.249680715E2,2.052000046E1,2.189999962E1,-4.145999908E1
1.252226492E2,2.052000046E1,2.357999992E1,-4.163999939E1
1.254772573E2,2.027999878E1,2.279999924E1,-4.145999908E1
1.257318350E2,2.045999908E1,2.363999939E1,-4.104000092E1
1.259863821E2,2.045999908E1,2.231999969E1,-4.229999924E1
1.262409292E2,2.118000031E1,2.243999863E1,-4.152000046E1
1.264953848E2,2.045999908E1,2.303999901E1,-4.170000076E1
1.267499319E2,2.081999969E1,2.297999954E1,-4.181999969E1
1.270043264E2,2.069999886E1,2.292000008E1,-4.211999893E1
1.272587820E2,2.100000000E1,2.334000015E1,-4.145999908E1
1.275131155E2,2.045999908E1,2.219999886E1,-4.181999969E1
1.277675100E2,1.997999954E1,2.321999931E1,-4.187999725E1
1.280218740E2,2.045999908E1,2.268000031E1,-4.104000092E1
1.282763247E2,2.111999893E1,2.268000031E1,-4.170000076E1
1.285308718E2,2.135999870E1,2.339999962E1,-4.055999756E1
1.287854799E2,2.045999908E1,2.231999969E1,-4.055999756E1
1.290398745E2,2.057999992E1,2.279999924E1,-4.181999969E1
1.292943606E2,2.100000000E1,2.292000008E1,-4.068000031E1
1.295486635E2,1.979999924E1,2.255999947E1,-4.145999908E1
1.298030886E2,2.034000015E1,2.321999931E1,-4.115999985E1
1.300576967E2,2.015999985E1,2.369999886E1,-4.020000076E1
1.303123964E2,2.010000038E1,2.261999893E1,-4.145999908E1
1.305666384E2,1.955999947E1,2.279999924E1,-4.163999939E1
1.308209414E2,2.003999901E1,2.357999992E1,-4.109999847E1
1.310753969E2,2.034000015E1,2.369999886E1,-4.061999893E1
1.313298525E2,2.081999969E1,2.268000031E1,-4.175999832E1
1.315843081E2,2.052000046E1,2.243999863E1,-4.061999893E1
1.318389773E2,2.063999939E1,2.310000038E1,-4.205999756E1
1.320934633E2,2.069999886E1,2.400000000E1,-4.157999802E1
1.323480410E2,2.027999878E1,2.310000038E1,-4.086000061E1
1.326025576E2,1.992000008E1,2.315999985E1,-4.170000076E1
1.328569826E2,1.997999954E1,2.237999916E1,-4.109999847E1
1.331114992E2,2.123999977E1,2.381999969E1,-4.121999741E1
1.333660158E2,2.111999893E1,2.250000000E1,-4.086000061E1
