"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.319050632E2,2.171999931E1,3.161999893E1,-6.000000000E1
1.321561313E2,2.111999893E1,3.161999893E1,-6.071999741E1
1.324074130E2,2.129999924E1,3.150000000E1,-5.981999969E1
1.326587253E2,2.093999863E1,3.234000015E1,-5.969999695E1
1.329096440E2,2.189999962E1,3.234000015E1,-6.047999954E1
1.331608036E2,2.129999924E1,3.126000023E1,-5.975999832E1
1.334119633E2,2.184000015E1,3.179999924E1,-6.065999985E1
1.336629704E2,2.147999954E1,3.281999969E1,-6.041999817E1
1.339141911E2,2.165999985E1,3.209999847E1,-6.000000000E1
1.341651982E2,2.118000031E1,3.167999840E1,-5.963999939E1
1.344164189E2,2.111999893E1,3.209999847E1,-5.897999954E1
1.346678532E2,2.207999992E1,3.167999840E1,-6.023999786E1
1.349190129E2,2.160000038E1,3.293999863E1,-6.018000031E1
1.351702030E2,2.100000000E1,3.126000023E1,-6.005999756E1
1.354212406E2,2.177999878E1,3.192000008E1,-5.957999802E1
1.356724919E2,2.189999962E1,3.179999924E1,-5.952000046E1
1.359237736E2,2.081999969E1,3.234000015E1,-6.000000000E1
1.361749333E2,2.177999878E1,3.173999977E1,-6.029999924E1
1.364260929E2,2.177999878E1,3.234000015E1,-5.969999695E1
1.366774357E2,2.207999992E1,3.192000008E1,-5.987999725E1
1.369287480E2,2.153999901E1,3.185999870E1,-5.915999985E1
1.371798161E2,2.184000015E1,3.173999977E1,-5.969999695E1
1.374310368E2,2.135999870E1,3.095999908E1,-5.957999802E1
1.376820133E2,2.111999893E1,3.161999893E1,-5.934000015E1
1.379331120E2,2.093999863E1,3.137999916E1,-6.029999924E1
1.381845158E2,2.219999886E1,3.107999992E1,-5.927999878E1
1.384356755E2,2.100000000E1,3.179999924E1,-6.065999985E1
1.386867436E2,2.207999992E1,3.239999771E1,-6.029999924E1
1.389379338E2,2.171999931E1,3.197999954E1,-6.029999924E1
1.391892155E2,2.129999924E1,3.234000015E1,-5.993999863E1
1.394402531E2,2.171999931E1,3.119999886E1,-5.897999954E1
