"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.612075582E1,3.112462163E-2,-1.029506698E-1,9.603142738E0
7.637182393E1,3.351882473E-2,-1.101332754E-1,9.607931137E0
7.662301412E1,1.915361360E-2,-1.292868853E-1,9.603142738E0
7.687420430E1,2.154781483E-2,-1.101332754E-1,9.600749016E0
7.712530294E1,3.112462163E-2,-1.221042871E-1,9.605537415E0
7.737634054E1,2.633621916E-2,-1.101332754E-1,9.615114212E0
7.762765279E1,3.112462163E-2,-1.005564705E-1,9.598354340E0
7.787875142E1,3.351882473E-2,-1.077390760E-1,9.600749016E0
7.812981954E1,3.112462163E-2,-1.149216816E-1,9.605537415E0
7.838091817E1,3.351882473E-2,-1.029506698E-1,9.607931137E0
7.863229146E1,2.394201607E-2,-1.173158810E-1,9.603142738E0
7.888326802E1,2.394201607E-2,-1.221042871E-1,9.603142738E0
7.913445821E1,1.915361360E-2,-1.053448766E-1,9.605537415E0
7.938555684E1,2.633621916E-2,-1.077390760E-1,9.612719536E0
7.963683858E1,2.394201607E-2,-1.029506698E-1,9.612719536E0
7.988778463E1,2.394201607E-2,-1.173158810E-1,9.612719536E0
8.013921895E1,1.915361360E-2,-1.053448766E-1,9.605537415E0
8.039034810E1,1.675941236E-2,-1.029506698E-1,9.600749016E0
8.064135518E1,2.633621916E-2,-1.005564705E-1,9.619902611E0
8.089260640E1,2.394201607E-2,-1.125274822E-1,9.607931137E0
8.114413228E1,1.675941236E-2,-1.077390760E-1,9.617507935E0
8.139513936E1,3.112462163E-2,-1.077390760E-1,9.600749016E0
8.164645162E1,2.873042040E-2,-1.149216816E-1,9.615114212E0
8.189751973E1,2.633621916E-2,-1.149216816E-1,9.605537415E0
8.214880147E1,2.873042040E-2,-1.149216816E-1,9.607931137E0
8.239996114E1,2.633621916E-2,-1.101332754E-1,9.607931137E0
8.265124288E1,3.112462163E-2,-1.125274822E-1,9.617507935E0
8.290237203E1,2.873042040E-2,-1.149216816E-1,9.595960617E0
8.315340963E1,3.112462163E-2,-1.101332754E-1,9.617507935E0
8.340447774E1,2.394201607E-2,-1.077390760E-1,9.610325813E0
8.365542379E1,2.633621916E-2,-1.149216816E-1,9.612719536E0
8.390667501E1,2.154781483E-2,-1.101332754E-1,9.603142738E0
8.415789571E1,2.873042040E-2,-1.053448766E-1,9.600749016E0
8.440920797E1,2.154781483E-2,-1.053448766E-1,9.598354340E0
8.466052022E1,2.394201607E-2,-1.101332754E-1,9.603142738E0
8.491171041E1,1.675941236E-2,-1.149216816E-1,9.605537415E0
8.516308370E1,3.351882473E-2,-1.197100878E-1,9.600749016E0
8.541436544E1,2.394201607E-2,-1.101332754E-1,9.607931137E0
8.566549459E1,3.591302410E-2,-1.149216816E-1,9.612719536E0
8.591662374E1,1.675941236E-2,-1.197100878E-1,9.598354340E0
8.616787496E1,2.394201607E-2,-1.053448766E-1,9.607931137E0
8.641924825E1,2.154781483E-2,-1.125274822E-1,9.603142738E0
8.667043844E1,2.633621916E-2,-1.125274822E-1,9.600749016E0
8.692150655E1,2.873042040E-2,-1.077390760E-1,9.603142738E0
8.717269674E1,1.675941236E-2,-1.029506698E-1,9.600749016E0
8.742400899E1,2.154781483E-2,-1.101332754E-1,9.605537415E0
8.767519918E1,2.154781483E-2,-1.029506698E-1,9.619902611E0
8.792645040E1,2.394201607E-2,-1.125274822E-1,9.615114212E0
8.817788472E1,1.915361360E-2,-1.029506698E-1,9.595960617E0
8.842904439E1,1.675941236E-2,-1.077390760E-1,9.610325813E0
8.868011251E1,2.873042040E-2,-1.077390760E-1,9.598354340E0
8.893148580E1,3.112462163E-2,-1.077390760E-1,9.607931137E0
8.918273702E1,2.633621916E-2,-1.125274822E-1,9.605537415E0
8.943404928E1,1.915361360E-2,-1.197100878E-1,9.610325813E0
8.968526998E1,3.351882473E-2,-1.149216816E-1,9.607931137E0
8.993636861E1,1.915361360E-2,-1.173158810E-1,9.593565941E0
9.018749776E1,3.351882473E-2,-1.005564705E-1,9.605537415E0
9.043856588E1,3.830722719E-2,-1.149216816E-1,9.607931137E0
9.068978658E1,2.154781483E-2,-1.173158810E-1,9.605537415E0
9.094094625E1,3.351882473E-2,-1.101332754E-1,9.603142738E0
9.119210592E1,2.873042040E-2,-1.077390760E-1,9.603142738E0
9.144317403E1,3.112462163E-2,-1.149216816E-1,9.605537415E0
